id,name,description,icon,type,target,rewardType,rewardAmount
1,First Blood,Kill 1 monster,icon_kill,KillCount,1,Gold,100
2,Monster Slayer,Kill 50 monsters,icon_kill,KillCount,50,Gold,500
3,Exterminator,Kill 200 monsters,icon_kill,KillCount,200,Gold,1500
4,Stage 5,Clear stage 5,icon_stage,StageClear,5,Gold,300
5,Stage 10,Clear stage 10,icon_stage,StageClear,10,Gold,600
6,Stage 25,Clear stage 25,icon_stage,StageClear,25,Gold,1500
7,Level 5,Reach level 5,icon_level,LevelReached,5,Gold,200
8,Level 10,Reach level 10,icon_level,LevelReached,10,Gold,500
9,Gold Digger,Earn 1000 gold total,icon_gold,GoldEarned,1000,Gold,150
10,Rich,Earn 10000 gold total,icon_gold,GoldEarned,10000,Gold,1000
11,Collector,Collect 5 equipment,icon_equip,EquipmentCollected,5,Gold,250
12,Boss Hunter,Kill 1 boss,icon_boss,BossKill,1,Gold,500
13,Boss Slayer,Kill 5 bosses,icon_boss,BossKill,5,Gold,1500
14,Upgrade Master,Select 10 upgrades,icon_upgrade,UpgradeSelected,10,Gold,200
15,Upgrade Addict,Select 50 upgrades,icon_upgrade,UpgradeSelected,50,Gold,1000
